ticker,date,direction,pattern,pat_quality,rsi,adx,volume_ratio,roc_5,rs_vs_spy,near_52w,at_52w,macd_bullish,macd_expanding,entry,mfe_5d,mae_5d,ret_3d,ret_5d,ret_10d,adx_bucket,vol_bucket
FORM,2025-10-29,BULLISH,GAP_AND_GO,65,70.2,34.8,2.8,15.57,28.6,False,False,True,False,47.72,24.16,8.38,18.19,16.01,8.21,25-35,2-3x
ENS,2025-11-06,BULLISH,VCP_BREAKOUT,100,68.1,28.3,2.07,3.24,22.5,False,False,True,False,128.82,7.4,2.1,7.2,6.43,2.85,25-35,2-3x
RIVN,2025-12-12,BULLISH,GAP_AND_GO,65,64.4,27.9,2.36,2.62,27.3,False,False,True,False,18.42,21.88,-4.29,-4.29,21.88,12.21,25-35,2-3x
MRNA,2026-01-13,BULLISH,GAP_AND_GO,55,71.7,33.4,2.32,11.05,22.6,False,False,True,True,39.6,25.78,-0.61,5.63,25.78,14.39,25-35,2-3x
ALGM,2026-01-28,BULLISH,GAP_AND_GO,65,68.4,33.9,2.28,1.65,22.2,False,False,True,True,34.55,12.56,6.83,8.34,10.56,23.91,25-35,2-3x
LFUS,2026-01-28,BULLISH,GAP_AND_GO,55,70.5,31.8,2.57,4.23,24.9,False,False,True,True,313.57,5.63,3.03,3.51,5.41,13.88,25-35,2-3x
